ClientID,ClientName,PriorityLevel,RequestedTaskIDs,GroupTag,AttributesJSON
C001,Acme Corp,5,"T001,T003,T005",Enterprise,"{""industry"": ""Technology"", ""size"": ""Large""}"
C002,StartupXYZ,3,"T002,T004",Startup,"{""industry"": ""Fintech"", ""size"": ""Small""}"
C003,MegaCorp Industries,4,"T001,T002,T006",Enterprise,"{""industry"": ""Manufacturing"", ""size"": ""Large""}"
C004,Local Business,2,"T003,T007",SMB,"{""industry"": ""Retail"", ""size"": ""Medium""}"
C005,TechVenture,5,"T004,T005,T008",Startup,"{""industry"": ""AI/ML"", ""size"": ""Small""}"
C006,GlobalCorp,4,"T006,T007,T009",Enterprise,"{""industry"": ""Consulting"", ""size"": ""Large""}"
C007,Innovation Labs,3,"T008,T010",Startup,"{""industry"": ""Research"", ""size"": ""Medium""}"
C100,ByteBridge,5,"T019,T004",SMB,"{""industry"": ""Logistics"", ""size"": ""Medium""}"
C101,,5,"T009,T009,T011,T004,T020",Enterprise,"{""industry"": ""Fintech"", ""size"": ""Large""}"
C102,ByteBridge,3,"T016,T002,T013,T006",Enterprise,"{""industry"": ""Energy"", ""size"": ""Large""}"
C103,AlgoWorks,3,"T016,T019,T003,T007,T008",Enterprise,"{""industry"": ""Gaming"", ""size"": ""Large""}"
C104,,5,"T011,T017,T010,T020,T009",Enterprise,"{""industry"": ""Energy"", ""size"": ""Medium""}"
C105,NovaTech,4,"T010,T007",Enterprise,"{""industry"": ""EdTech"", ""size"": ""Small""}"
C106,Quantech,1,"T008,T016,T014,T019,T005",Enterprise,"{""industry"": ""Logistics"", ""size"": ""Large""}"
C107,ByteBridge,1,"T001,T020,T015,T011",SMB,"{""industry"": ""Logistics"", ""size"": ""Medium""}"
C108,NovaTech,1,"T011,T007",Startup,"{""industry"": ""Energy"", ""size"": ""Medium""}"
C109,ByteBridge,2,???,Startup,"{""industry"": ""Fintech"", ""size"": ""Medium""}"
C110,InnovaSys,5,"T017,T008,T012",Startup,"{""industry"": ""Energy"", ""size"": ""Small""}"
C111,NovaTech,5,"T019,T014",Enterprise,"{""industry"": ""Gaming"", ""size"": ""Medium""}"
C112,NovaTech,1,"T019,T007",Startup,"{""industry"": ""Gaming"", ""size"": ""Medium""}"
C113,AlgoWorks,3,"T019,T012",Startup,"{""industry"": ""Healthcare"", ""size"": ""Medium""}"
